Algorithm,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall Rate,Voicing False-Alarm Rate,Contributors,Dataset,Year
AH1,0.6052,0.6983,0.7817,0.7043,0.1724,"An-Qi Huang,SHENYUAN LI,Zhi Dong",ADC2004,2019
BH1,0.7079,0.8110,0.8431,0.7759,0.2914,"Jiří­ Balhar,Jan Hajič",ADC2004,2019
BH2,0.6983,0.7989,0.8348,0.7560,0.2802,"Jiří­ Balhar,Jan Hajič",ADC2004,2019
HH4,0.3314,0.3831,0.4221,0.9373,0.8418,Huang Hsiang-Yu,ADC2004,2019
HLD1,0.5233,0.6236,0.7288,0.6150,0.1447,"An-Qi Huang,SHENYUAN LI,Zhi Dong",ADC2004,2019
KN4,0.6786,0.6570,0.6651,0.6962,0.1188,"Sanguen Kum, Juhan Nam",ADC2004,2019
ZC1,0.6640,0.6432,0.6535,0.7055,0.1672,Zhengyu Cao,ADC2004,2019
AH1,0.6065,0.6569,0.7158,0.7525,0.2461,"An-Qi Huang,SHENYUAN LI,Zhi Dong",MIREX05,2019
BH1,0.6786,0.7449,0.7804,0.7295,0.2011,"Jiří­ Balhar,Jan Hajič",MIREX05,2019
BH2,0.6691,0.7325,0.7764,0.7113,0.2286,"Jiří­ Balhar,Jan Hajič",MIREX05,2019
HH4,0.3265,0.4474,0.4881,0.9455,0.9403,Huang Hsiang-Yu,MIREX05,2019
HLD1,0.5368,0.5851,0.6647,0.6790,0.2847,"An-Qi Huang,SHENYUAN LI,Zhi Dong",MIREX05,2019
KN4,0.6107,0.5717,0.5782,0.6406,0.1461,"Sanguen Kum, Juhan Nam",MIREX05,2019
ZC1,0.5491,0.4831,0.4915,0.5647,0.1459,Zhengyu Cao,MIREX05,2019
AH1,0.6639,0.7441,0.7512,0.6972,0.1423,"An-Qi Huang,SHENYUAN LI,Zhi Dong",INDIAN08,2019
BH1,0.6468,0.7401,0.7494,0.7829,0.5998,"Jiří­ Balhar,Jan Hajič",INDIAN08,2019
BH2,0.6627,0.7477,0.7620,0.7908,0.5465,"Jiří­ Balhar,Jan Hajič",INDIAN08,2019
HH4,0.4879,0.5635,0.5716,0.8845,0.8634,Huang Hsiang-Yu,INDIAN08,2019
HLD1,0.6419,0.7046,0.7167,0.6997,0.1581,"An-Qi Huang,SHENYUAN LI,Zhi Dong",INDIAN08,2019
KN4,0.7931,0.7894,0.7905,0.8456,0.0785,"Sanguen Kum, Juhan Nam",INDIAN08,2019
ZC1,0.6988,0.7282,0.7301,0.8217,0.3751,Zhengyu Cao,INDIAN08,2019
AH1,0.7991,0.8061,0.8078,0.8949,0.1513,"An-Qi Huang,SHENYUAN LI,Zhi Dong",MIREX09 (0dB),2019
BH1,0.6060,0.6877,0.7292,0.6588,0.2648,"Jiří­ Balhar,Jan Hajič",MIREX09 (0dB),2019
BH2,0.6414,0.7150,0.7645,0.6825,0.2346,"Jiří­ Balhar,Jan Hajič",MIREX09 (0dB),2019
HH4,0.5156,0.7779,0.7846,0.9906,0.9586,Huang Hsiang-Yu,MIREX09 (0dB),2019
HLD1,0.8278,0.8593,0.8613,0.9098,0.1531,"An-Qi Huang,SHENYUAN LI,Zhi Dong",MIREX09 (0dB),2019
KN4,0.7507,0.7265,0.7294,0.7947,0.1233,"Sanguen Kum, Juhan Nam",MIREX09 (0dB),2019
ZC1,0.7304,0.6467,0.6529,0.7344,0.1179,Zhengyu Cao,MIREX09 (0dB),2019
AH1,0.6844,0.7088,0.7132,0.8299,0.2270,"An-Qi Huang,SHENYUAN LI,Zhi Dong",MIREX09 (-5dB),2019
BH1,0.5297,0.5917,0.6491,0.5786,0.2757,"Jiří­ Balhar,Jan Hajič",MIREX09 (-5dB),2019
BH2,0.5982,0.6644,0.7229,0.6335,0.2401,"Jiří­ Balhar,Jan Hajič",MIREX09 (-5dB),2019
HH4,0.4754,0.7178,0.7304,0.9906,0.9586,Huang Hsiang-Yu,MIREX09 (-5dB),2019
HLD1,0.7159,0.7684,0.7754,0.8356,0.2183,"An-Qi Huang,SHENYUAN LI,Zhi Dong",MIREX09 (-5dB),2019
KN4,0.7059,0.6661,0.6734,0.7744,0.1958,"Sanguen Kum, Juhan Nam",MIREX09 (-5dB),2019
ZC1,0.5808,0.4267,0.4383,0.5456,0.1332,Zhengyu Cao,MIREX09 (-5dB),2019
AH1,0.8598,0.8621,0.8634,0.9066,0.0854,"An-Qi Huang,SHENYUAN LI,Zhi Dong",MIREX09 (+5dB),2019
BH1,0.6688,0.7528,0.7833,0.7166,0.2412,"Jiří­ Balhar,Jan Hajič",MIREX09 (+5dB),2019
BH2,0.6714,0.7433,0.7851,0.7121,0.2214,"Jiří­ Balhar,Jan Hajič",MIREX09 (+5dB),2019
HH4,0.5289,0.7980,0.8023,0.9906,0.9586,Huang Hsiang-Yu,MIREX09 (+5dB),2019
HLD1,0.8712,0.8946,0.8960,0.9206,0.1009,"An-Qi Huang,SHENYUAN LI,Zhi Dong",MIREX09 (+5dB),2019
KN4,0.8066,0.7784,0.7795,0.8372,0.0821,"Sanguen Kum, Juhan Nam",MIREX09 (+5dB),2019
ZC1,0.8004,0.7468,0.7502,0.8193,0.1030,Zhengyu Cao,MIREX09 (+5dB),2019
AH1,0.1825,0.2561,0.5670,0.4761,0.2605,"An-Qi Huang,SHENYUAN LI,Zhi Dong",ORCHSET,2019
BH1,0.5154,0.5979,0.7618,0.7705,0.5830,"Jiří­ Balhar,Jan Hajič",ORCHSET,2019
BH2,0.4586,0.5500,0.7491,0.7030,0.5193,"Jiří­ Balhar,Jan Hajič",ORCHSET,2019
HH4,0.0357,0.0375,0.1400,0.9459,0.9629,Huang Hsiang-Yu,ORCHSET,2019
HLD1,0.1185,0.1394,0.4877,0.3504,0.2202,"An-Qi Huang,SHENYUAN LI,Zhi Dong",ORCHSET,2019
KN4,0.2093,0.1704,0.3719,0.5222,0.2848,"Sanguen Kum, Juhan Nam",ORCHSET,2019
ZC1,0.2118,0.1826,0.3636,0.5136,0.3405,Zhengyu Cao,ORCHSET,2019
KN1_Res,0.6916,0.6873,0.7133,0.7721,0.2415,"Sanguen Kum, Juhan Nam",ADC2004,2018
KN1_Dense,0.7034,0.7178,0.7517,0.8286,0.3411,"Sanguen Kum, Juhan Nam",ADC2004,2018
KN3,0.6772,0.6661,0.6954,0.7686,0.2246,"Sanguen Kum, Juhan Nam",ADC2004,2018
LS1,0.6586,0.6571,0.6673,0.8086,0.3238,Li Su,ADC2004,2018
KN1_Res,0.6285,0.6142,0.6607,0.8059,0.3177,"Sanguen Kum, Juhan Nam",MIREX05,2018
KN1_Dense,0.6388,0.6640,0.7057,0.8831,0.4343,"Sanguen Kum, Juhan Nam",MIREX05,2018
KN3,0.6462,0.6014,0.6228,0.7284,0.2001,"Sanguen Kum, Juhan Nam",MIREX05,2018
LS1,0.5046,0.5211,0.5489,0.7465,0.4888,Li Su,MIREX05,2018
KN1_Res,0.7666,0.7698,0.7815,0.8484,0.1440,"Sanguen Kum, Juhan Nam",INDIAN08,2018
KN1_Dense,0.7605,0.7885,0.7947,0.8653,0.2948,"Sanguen Kum, Juhan Nam",INDIAN08,2018
KN3,0.7580,0.7825,0.7882,0.8510,0.2769,"Sanguen Kum, Juhan Nam",INDIAN08,2018
LS1,0.6894,0.7575,0.7619,0.8828,0.5916,Li Su,INDIAN08,2018
KN1_Res,0.7588,0.7781,0.7896,0.8942,0.2848,"Sanguen Kum, Juhan Nam",MIREX09 (0dB),2018
KN1_Dense,0.6843,0.7916,0.8084,0.9380,0.5269,"Sanguen Kum, Juhan Nam",MIREX09 (0dB),2018
KN3,0.7648,0.7481,0.7572,0.8476,0.2057,"Sanguen Kum, Juhan Nam",MIREX09 (0dB),2018
LS1,0.7219,0.7360,0.7414,0.8945,0.3060,Li Su,MIREX09 (0dB),2018
KN1_Res,0.6352,0.6521,0.6761,0.8372,0.4000,"Sanguen Kum, Juhan Nam",MIREX09 (-5dB),2018
KN1_Dense,0.5646,0.6794,0.7046,0.9226,0.6563,"Sanguen Kum, Juhan Nam",MIREX09 (-5dB),2018
KN3,0.6437,0.6151,0.6322,0.7680,0.3024,"Sanguen Kum, Juhan Nam",MIREX09 (-5dB),2018
LS1,0.5933,0.5125,0.5224,0.6830,0.2439,Li Su,MIREX09 (-5dB),2018
KN1_Res,0.8296,0.8289,0.8342,0.9217,0.1782,"Sanguen Kum, Juhan Nam",MIREX09 (+5dB),2018
KN1_Dense,0.7777,0.8381,0.8494,0.9421,0.3464,"Sanguen Kum, Juhan Nam",MIREX09 (+5dB),2018
KN3,0.8309,0.8071,0.8121,0.8866,0.1277,"Sanguen Kum, Juhan Nam",MIREX09 (+5dB),2018
LS1,0.7756,0.8363,0.8385,0.9714,0.3465,Li Su,MIREX09 (+5dB),2018
KN1_Res,0.2086,0.1815,0.3830,0.6345,0.4373,"Sanguen Kum, Juhan Nam",ORCHSET,2018
KN1_Dense,0.2370,0.2267,0.4668,0.8292,0.6425,"Sanguen Kum, Juhan Nam",ORCHSET,2018
KN3,0.2252,0.1937,0.3986,0.6005,0.3792,"Sanguen Kum, Juhan Nam",ORCHSET,2018
LS1,0.1230,0.0745,0.1396,0.2352,0.2140,Li Su,ORCHSET,2018
KON1,0.6236,0.6580,0.6951,0.8411,0.5054,Sangeun Kum,ADC2004,2016
WFJY1,0.7035,0.7984,0.8425,0.8309,0.3267,Chung-Che Wang,ADC2004,2016
IIY1,0.7187,0.8139,0.8457,0.8488,0.4348,Yukara Ikemiya,ADC2004,2016
FJ1,0.6034,0.6744,0.7328,0.7011,0.1656,Zhe-Cheng Fan,ADC2004,2016
BG2,0.6970,0.7669,0.7998,0.7760,0.2022,"Juan J, Emilia Gómez",ADC2004,2016
BG1,0.6886,0.7974,0.8340,0.8906,0.5304,"Juan J, Emilia Gómez",ADC2004,2016
WFJY2,0.6677,0.7567,0.8137,0.7787,0.2589,Chung-Che Wang,ADC2004,2016
FJ2,0.5563,0.6630,0.7148,0.5885,0.1542,Zhe-Cheng Fan,ADC2004,2016
WFJY3,0.6989,0.7895,0.8318,0.8309,0.3267,Chung-Che Wang,ADC2004,2016
KON1,0.5774,0.6236,0.6637,0.8358,0.5084,Sangeun Kum,MIREX05,2016
WFJY1,0.5732,0.7248,0.7782,0.7279,0.4027,Chung-Che Wang,MIREX05,2016
IIY1,0.6738,0.7641,0.8149,0.9449,0.5571,Yukara Ikemiya,MIREX05,2016
FJ1,0.5863,0.6326,0.7035,0.7106,0.2037,Zhe-Cheng Fan,MIREX05,2016
BG2,0.6370,0.6883,0.7338,0.7911,0.3854,"Juan J, Emilia Gómez",MIREX05,2016
BG1,0.5814,0.6982,0.7581,0.8941,0.7035,"Juan J, Emilia Gómez",MIREX05,2016
WFJY2,0.5769,0.6984,0.7600,0.7285,0.3866,Chung-Che Wang,MIREX05,2016
FJ2,0.4748,0.6226,0.6798,0.4579,0.1441,Zhe-Cheng Fan,MIREX05,2016
WFJY3,0.5706,0.7199,0.7770,0.7279,0.4027,Chung-Che Wang,MIREX05,2016
KON1,0.8312,0.8726,0.8771,0.9689,0.3914,Sangeun Kum,INDIAN08,2016
WFJY1,0.8011,0.8806,0.8947,0.9656,0.5095,Chung-Che Wang,INDIAN08,2016
IIY1,0.8444,0.9210,0.9220,0.9766,0.5058,Yukara Ikemiya,INDIAN08,2016
FJ1,0.6819,0.8036,0.8119,0.7512,0.1016,Zhe-Cheng Fan,INDIAN08,2016
BG2,0.7637,0.8212,0.8266,0.9370,0.4289,"Juan J, Emilia Gómez",INDIAN08,2016
BG1,0.7323,0.8209,0.8267,0.9900,0.7603,"Juan J, Emilia Gómez",INDIAN08,2016
WFJY2,0.8160,0.8954,0.9068,0.9413,0.3806,Chung-Che Wang,INDIAN08,2016
FJ2,0.6027,0.7346,0.7465,0.7117,0.1175,Zhe-Cheng Fan,INDIAN08,2016
WFJY3,0.7988,0.8781,0.8921,0.9656,0.5095,Chung-Che Wang,INDIAN08,2016
KON1,0.7005,0.8183,0.8327,0.9496,0.5205,Sangeun Kum,MIREX09 (0dB),2016
WFJY1,0.7539,0.8620,0.8760,0.8473,0.2668,Chung-Che Wang,MIREX09 (0dB),2016
IIY1,0.6799,0.8200,0.8322,0.9657,0.5527,Yukara Ikemiya,MIREX09 (0dB),2016
FJ1,0.7653,0.8253,0.8433,0.7193,0.0538,Zhe-Cheng Fan,MIREX09 (0dB),2016
BG2,0.5847,0.6118,0.6856,0.7818,0.4069,"Juan J, Emilia Gómez",MIREX09 (0dB),2016
BG1,0.4621,0.6266,0.6934,0.8845,0.7855,"Juan J, Emilia Gómez",MIREX09 (0dB),2016
WFJY2,0.7669,0.8544,0.8735,0.8283,0.1947,Chung-Che Wang,MIREX09 (0dB),2016
FJ2,0.6507,0.8285,0.8474,0.4973,0.0212,Zhe-Cheng Fan,MIREX09 (0dB),2016
WFJY3,0.7543,0.8626,0.8771,0.8473,0.2668,Chung-Che Wang,MIREX09 (0dB),2016
KON1,0.5761,0.7064,0.7332,0.9425,0.6642,Sangeun Kum,MIREX09 (-5dB),2016
WFJY1,0.6105,0.7296,0.7584,0.6837,0.2656,Chung-Che Wang,MIREX09 (-5dB),2016
IIY1,0.5310,0.6926,0.7182,0.9710,0.7502,Yukara Ikemiya,MIREX09 (-5dB),2016
FJ1,0.6075,0.6225,0.6714,0.6051,0.1300,Zhe-Cheng Fan,MIREX09 (-5dB),2016
BG2,0.4631,0.4708,0.5517,0.7411,0.4866,"Juan J, Emilia Gómez",MIREX09 (-5dB),2016
BG1,0.3660,0.4817,0.5625,0.8721,0.7919,"Juan J, Emilia Gómez",MIREX09 (-5dB),2016
WFJY2,0.6077,0.7099,0.7503,0.6288,0.1935,Chung-Che Wang,MIREX09 (-5dB),2016
FJ2,0.4570,0.6706,0.7124,0.1865,0.0127,Zhe-Cheng Fan,MIREX09 (-5dB),2016
WFJY3,0.6116,0.7317,0.7606,0.6837,0.2656,Chung-Che Wang,MIREX09 (-5dB),2016
KON1,0.7962,0.8701,0.8762,0.9485,0.3466,Sangeun Kum,MIREX09 (+5dB),2016
WFJY1,0.8243,0.9171,0.9244,0.9354,0.2732,Chung-Che Wang,MIREX09 (+5dB),2016
IIY1,0.7935,0.8792,0.8850,0.9623,0.3325,Yukara Ikemiya,MIREX09 (+5dB),2016
FJ1,0.8638,0.9183,0.9245,0.8197,0.0207,Zhe-Cheng Fan,MIREX09 (+5dB),2016
BG2,0.6672,0.7083,0.7758,0.8202,0.3419,"Juan J, Emilia Gómez",MIREX09 (+5dB),2016
BG1,0.5398,0.7316,0.7881,0.8971,0.7704,"Juan J, Emilia Gómez",MIREX09 (+5dB),2016
WFJY2,0.8466,0.9167,0.9246,0.9323,0.2043,Chung-Che Wang,MIREX09 (+5dB),2016
FJ2,0.8020,0.8948,0.9020,0.7509,0.0391,Zhe-Cheng Fan,MIREX09 (+5dB),2016
WFJY3,0.8243,0.9167,0.9252,0.9354,0.2732,Chung-Che Wang,MIREX09 (+5dB),2016
KON1,0.2143,0.2089,0.5144,0.8838,0.7532,Sangeun Kum,ORCHSET,2016
WFJY1,0.1851,0.2603,0.5616,0.6069,0.4706,Chung-Che Wang,ORCHSET,2016
IIY1,0.3204,0.3481,0.6701,0.9122,0.7578,Yukara Ikemiya,ORCHSET,2016
FJ1,0.1411,0.1840,0.4517,0.4431,0.2832,Zhe-Cheng Fan,ORCHSET,2016
BG2,0.5310,0.6169,0.7513,0.7204,0.4629,"Juan J, Emilia Gómez",ORCHSET,2016
BG1,0.5928,0.6639,0.8086,0.8905,0.7412,"Juan J, Emilia Gómez",ORCHSET,2016
WFJY2,0.1574,0.2222,0.5078,0.5000,0.3651,Chung-Che Wang,ORCHSET,2016
FJ2,0.0990,0.1823,0.4540,0.1232,0.0672,Zhe-Cheng Fan,ORCHSET,2016
WFJY3,0.1863,0.2676,0.5690,0.6069,0.4706,Chung-Che Wang,ORCHSET,2016
ZCY1,0.6062,0.6814,0.7341,0.9544,0.8032,"Weiwei Zhang, Zhe Chen, Fuliang Yin",ADC2004,2015
IIY2,0.6348,0.7086,0.7379,0.8465,0.4784,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",ADC2004,2015
IIY1,0.5843,0.6550,0.7298,0.8272,0.4615,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",ADC2004,2015
ZCY2,0.6024,0.6778,0.7305,0.9542,0.8090,"Weiwei Zhang, Zhe Chen, Fuliang Yin",ADC2004,2015
BG1,0.6930,0.7793,0.8239,0.8220,0.2907,"Juan J, Emilia Gómez",ADC2004,2015
FYJ3,0.5561,0.6612,0.7286,0.5930,0.1245,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",ADC2004,2015
FYJ4,0.6169,0.7084,0.7645,0.6914,0.1266,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",ADC2004,2015
FYJ1,0.6007,0.6744,0.7328,0.6938,0.1586,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",ADC2004,2015
FYJ2,0.5617,0.6854,0.7427,0.6008,0.1252,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",ADC2004,2015
ZCY1,0.4563,0.5113,0.6271,0.9075,0.8111,"Weiwei Zhang, Zhe Chen, Fuliang Yin",MIREX05,2015
IIY2,0.6549,0.7305,0.7799,0.9342,0.5671,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",MIREX05,2015
IIY1,0.6074,0.6858,0.7696,0.9186,0.5687,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",MIREX05,2015
ZCY2,0.4563,0.5113,0.6273,0.9078,0.8115,"Weiwei Zhang, Zhe Chen, Fuliang Yin",MIREX05,2015
BG1,0.6274,0.7036,0.7604,0.8521,0.5381,"Juan J, Emilia Gómez",MIREX05,2015
FYJ3,0.5441,0.6343,0.6752,0.6040,0.2020,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX05,2015
FYJ4,0.5619,0.6319,0.7108,0.6959,0.2185,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX05,2015
FYJ1,0.5852,0.6326,0.7035,0.7053,0.1981,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX05,2015
FYJ2,0.5436,0.6425,0.6941,0.6195,0.2138,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX05,2015
ZCY1,0.5048,0.5759,0.6702,0.8422,0.9096,"Weiwei Zhang, Zhe Chen, Fuliang Yin",INDIAN08,2015
IIY2,0.7034,0.7546,0.7553,0.9721,0.5135,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",INDIAN08,2015
IIY1,0.6962,0.7671,0.7688,0.9199,0.4590,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",INDIAN08,2015
ZCY2,0.5048,0.5759,0.6702,0.8422,0.9092,"Weiwei Zhang, Zhe Chen, Fuliang Yin",INDIAN08,2015
BG1,0.7407,0.8222,0.8326,0.9676,0.6545,"Juan J, Emilia Gómez",INDIAN08,2015
FYJ3,0.6906,0.8052,0.8184,0.7739,0.1480,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",INDIAN08,2015
FYJ4,0.6897,0.7880,0.8160,0.7859,0.1578,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",INDIAN08,2015
FYJ1,0.6768,0.8036,0.8119,0.7436,0.0957,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",INDIAN08,2015
FYJ2,0.6897,0.7880,0.8160,0.7859,0.1578,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",INDIAN08,2015
ZCY1,0.4623,0.6472,0.7292,0.9454,0.8707,"Weiwei Zhang, Zhe Chen, Fuliang Yin",MIREX09 (0dB),2015
IIY2,0.6807,0.8152,0.8277,0.9562,0.5357,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",MIREX09 (0dB),2015
IIY1,0.6627,0.7890,0.8350,0.9510,0.5234,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",MIREX09 (0dB),2015
ZCY2,0.4618,0.6472,0.7293,0.9455,0.8724,"Weiwei Zhang, Zhe Chen, Fuliang Yin",MIREX09 (0dB),2015
BG1,0.5397,0.6234,0.6990,0.8189,0.5599,"Juan J, Emilia Gómez",MIREX09 (0dB),2015
FYJ3,0.7442,0.8094,0.8327,0.6756,0.0523,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (0dB),2015
FYJ4,0.7622,0.8120,0.8378,0.7127,0.0586,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (0dB),2015
FYJ1,0.7613,0.8253,0.8433,0.7090,0.0496,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (0dB),2015
FYJ2,0.7467,0.8119,0.8352,0.6832,0.0563,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (0dB),2015
ZCY1,0.3469,0.4754,0.5749,0.9266,0.8812,"Weiwei Zhang, Zhe Chen, Fuliang Yin",MIREX09 (-5dB),2015
IIY2,0.5311,0.6891,0.7144,0.9661,0.7410,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",MIREX09 (-5dB),2015
IIY1,0.5084,0.6466,0.7176,0.9554,0.7051,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",MIREX09 (-5dB),2015
ZCY2,0.3464,0.4753,0.5749,0.9269,0.8826,"Weiwei Zhang, Zhe Chen, Fuliang Yin",MIREX09 (-5dB),2015
BG1,0.4306,0.4826,0.5674,0.7893,0.6019,"Juan J, Emilia Gómez",MIREX09 (-5dB),2015
FYJ3,0.5512,0.5996,0.6428,0.4300,0.0785,"Zhe-Cheng Fan, Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (-5dB),2015
